SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
T6,,,,,,,,20.06,0.09,,,,,,,16.89,0.1,14.64,0.06,12.37,,8.68,,true
L1.5,,,21.09,18.78,0.01,17.39,0.01,16.44,0.01,14.41,0.03,13.53,0.03,12.92,0.03,12.51,0.02,12.26,0.02,11.87,0.24,9.17,,true
L4:,,,,22.87,0.14,21.44,0.11,20.16,0.05,,,,,,,15.85,0.05,15.31,0.1,12.71,,9.17,,true
T2.5,,,,20.89,0.14,17.36,0.01,15.72,0.01,13.46,0.03,12.77,0.02,12.56,0.02,11.94,0.02,10.96,0.02,9.74,0.05,8.86,0.42,true
L1.5,,,,22.51,0.08,20.99,0.05,20.08,0.04,,,,,,,16.19,0.06,15.72,0.13,11.96,,8.99,,true
T3,,,,,,19.87,0.02,18.56,0.02,16.39,0.1,15.8,0.13,15.2,0.13,14.42,0.03,13.39,0.03,12.16,0.38,9.21,,true
L3.5,,,,22.79,0.14,21.09,0.06,20.11,0.06,,,,,,,,,,,,,,,true
L1,,,20.52,18.26,0.01,16.81,0.01,15.84,0.01,13.88,0.03,13.03,0.03,12.49,0.03,12.16,0.02,11.93,0.02,11.59,0.19,8.69,,true
L7:,,,,21.31,0.04,19.37,0.02,18.37,0.01,16.21,0.09,15.16,0.07,14.34,0.07,13.69,0.03,13.26,0.03,12.04,,8.57,,true
L5,,,21.65,19.47,0.02,17.63,0.01,16.53,0.01,14.19,0.03,13.01,0.02,12.27,0.02,11.63,0.02,11.37,0.02,10.88,0.1,8.5,,true
L0,,,,20.8,0.02,19.28,0.03,18.37,0.04,16.56,0.12,16.3,0.15,15.4,0.15,15.19,0.04,14.85,0.06,12.47,,9.18,,true
L1.5,,,,20.24,0.01,18.82,0.03,17.89,0.02,15.84,0.09,14.85,0.07,14.28,0.07,13.98,0.03,13.76,0.03,12.45,0.47,8.9,,true
L0.5,,,21.89,19.41,0.01,17.93,0.01,16.95,0.01,14.95,0.04,14.16,0.04,13.57,0.04,13.18,0.02,12.92,0.03,12.16,0.28,9.05,,true
L5,,,,,,21.27,0.07,20.24,0.06,,,,,,,15.53,0.04,14.97,0.07,12.14,,8.79,,true
L0.5,,,,21.38,0.05,19.9,0.03,19.01,0.04,,,,,,,15.67,0.04,15.52,0.12,12.49,,9.15,,true
T0,,,,21.77,0.14,19.28,0.04,18.14,0.01,16.11,0.08,15.02,0.07,14.48,0.07,13.65,0.03,13.04,0.03,11.86,0.24,8.78,,true
T7.5,,,,,,,,20.75,0.11,,,,,,,17.5,0.17,15.24,0.09,12.0,,9.25,,true
T1,,,,,,20.0,0.01,18.57,0.02,16.57,0.13,15.6,0.19,15.18,0.19,14.62,0.03,13.93,0.04,12.14,0.28,8.61,,true
L5,,,,22.78,0.11,21.02,0.05,19.92,0.05,,,,,,,15.47,0.04,15.0,0.07,12.81,,8.93,,true
